ru_word,en_word,transcription,example_en,example_ru
авария,accident,[ˈæksɪdənt],I might have an accident!,Я мог попасть в аварию!
размещать,accommodate,[əˈkɔmədeɪt],Lebanon is trying to accommodate nearly one million refugees.,Ливан пытается разместить у себя приблизительно миллион беженцев.
помещение,accommodation,[əˌkɔməˈdeɪʃən],"Accommodation, refrigeration and medical equipment.","Оснащение жилых помещений, холодильное и медицинское оборудование."
сопровождать,accompany,[əˈkʌmpənɪ],Accompany Mr. Queen to the cove.,Сопроводи мистера Квина в бухту.
выполнять,accomplish,[əˈkɔmplɪʃ],I will accomplish our primary objective.,Я выполню нашу главную задачу.
достижение,accomplishment,[əˈkɔmplɪʃmənt],Self-consciousness is the enemy of accomplishment.,Постоянный неоправданный контроль каждого своего поступка мешает достижению успеха.
соответствие,accordance,[əˈkɔ:dəns],denunciations in accordance with Article 6;,о денонсациях в соответствии со статьей 6;
счет,account,[əˈkaunt],Double-click a bank account.,Дважды щелкните банковский счет.
считать,account,[əˈkaunt],Visit xbox.com/security if you think someone else is accessing your account.,"Если вы считаете, что кто-то пользуется вашей учетной записью без вашего ведома, посетите страницу xbox.com/security."
подотчетность,accountability,[əˌkauntəˈbɪlɪtɪ],Government Accountability or Government Accounting?,Подотчетность правительства или учет?
ответственный,accountable,[əˈkauntəbl],"In Russia, the oligarchs are accountable to Putin.",В России олигархи ответственны перед Путиным.
бухгалтер,accountant,[əˈkauntənt],I'm your chief accountant.,Я же твой главный бухгалтер.
накапливать,accumulate,[əˈkju:mjuleɪt],"They accumulate information, they learn.","Они накапливают информацию, они учатся."
накопление,accumulation,[əˌkju:mjuˈleɪʃən],But the accumulation of experience is proving invaluable.,Но накопление опыта доказало свою ценность.
точность,accuracy,[ˈækjurəsɪ],Accuracy rate's barely over 60%.,Степень точности не выше 60%.
точный,accurate,[ˈækjurɪt],Stopwatches aren't accurate enough.,Секундомеры недостаточно точны.
обвинение,accusation,[ˌækju:ˈzeɪʃən],This is not an accusation.,Это не обвинение.
обвинять,accuse,[əˈkju:z],Why do you accuse my son?,Почему вы обвиняете моего сына?
достигать,achieve,[əˈtʃi:v],How did we achieve that?,Как мы этого достигли?
достижение,achievement,[əˈtʃi:vmənt],What an achievement that is.,Какое достижение.
кислотный,acid,[ˈæsɪd],Is the acid fog disabled?,Кислотный туман приведен в негодность?
кислота,acid,[ˈæsɪd],It's not muriatic acid.,Это не соляная кислота.
признавать,acknowledge,[əkˈnɔlɪdʒ],You agree and acknowledge that:,"Вы согласны и признаете, что:"
приобретать,acquire,[əˈkwaɪə],Acquire games through your console,Приобретайте игры через свою консоль
приобретение,acquisition,[ˌækwɪˈzɪʃən],They typically grow by acquisition.,Обычно они развиваются в процессе приобретений.
акр,acre,[ˈeɪkə],"Napoleon later advanced into the Levant and laid siege to the city of Acre in 1799, held by the Ottomans.","Позже Наполеон продвинулся до Леванта и в 1799 году предпринял попытку осадить город Акра, удерживаемый османами."
закон,act,[ækt],Public Order Act (Chapter 148),Закон об охране общественного порядка (глава 148)
действовать,act,[ækt],Time to Act on Ukraine,Украина: время действовать
действие,action,[ˈækʃən],The time the action ended.,"Время, когда закончилось действие."
активировать,activate,[ˈæktɪveɪt],"Computer, activate automatic helm control.","Компьютер, активировать автопилот."
активация,activation,,Activation or unlicensed product issues,Проблемы с активацией или лицензией на продукт
активный,active,[ˈæktɪv],Is position worker assignment active,Активно ли назначение работника на должность
активист,activist,,That was the activist Kouchner.,То был Кушнер-активист.
деятельность,activity,[ækˈtɪvɪtɪ],Scientific activity (Ph.D. Philology),Научная деятельность (доктор филологии)
актер,actor,[ˈæktə],I am a famous actor.,Я известный актёр.
актриса,actress,[ˈæktrɪs],The actress was dressed beautifully.,Актриса была великолепно одета.
фактический,actual,[ˈæktʃuəl],The actual truth was irrelevant.,Фактическая правда была неуместна.
острый,acute,[əˈkju:t],Normal albumen levels point toward acute.,Нормальные уровни альбумина указывают на острое.
реклама,ad,[æd],D. Ad Sales and Serving,Г. Продажа и показ рекламы
адаптироваться,adapt,[əˈdæpt],So you have to adapt.,"А это значит, к ним нужно адаптироваться."
адаптация,adaptation,[ˌædæpˈteɪʃən],Adaptation programs help strengthen climate resilience.,Программы по адаптации помогают укрепить климатическую устойчивость.
добавлять,add,[æd],Add contacts to get started,"Добавьте контакты, чтобы приступить к работе"
зависимость,addiction,[əˈdɪkʃən],"Arousal addiction, you want different.",С зависимостью от возбуждения вы хотите другого.
дополнение,addition,[əˈdɪʃən],In addition to the plum?,В дополнении к сливе?
дополнительный,additional,[əˈdɪʃənl],Additional provisions for Class 2,Дополнительные положения для класса 2
адрес,address,[əˈdres],A post office box address.,Адрес почтового ящика.
обращаться,address,[əˈdres],I never read an address.,Я никогда не читал ни одного обращения.
адекватный,adequate,[ˈædɪkwɪt],Attaining adequate accommodation facilities for refugees.,обеспечение адекватных жилищных условий для беженцев.
придерживаться,adhere,[ədˈhɪə],Professional groups adhere to transnational standards.,Профессиональные группы придерживаются транснациональных стандартов.
прилегающий,adjacent,[əˈdʒeɪsənt],Nuclear-weapon-free southern hemisphere and adjacent areas;,"Южное полушарие и прилегающие районы, свободные от ядерного оружия;"
скорректировать,adjust,[əˈdʒʌst],Post and adjust project transactions.,Разнесите и скорректируйте проводки по проекту.
корректировка,adjustment,[əˈdʒʌstmənt],Advance adjustment for advance holders,Корректировка авансов для подотчетных лиц
управлять,administer,[ədˈmɪnɪstə],"For more information, see Administer ODBC data sources.",Дополнительные сведения см. в статье Управление источниками данных ODBC.
администрация,administration,[ədˌmɪnɪsˈtreɪʃən],Yet the Bush administration insists:,И тем не менее администрация Буша настаивает:
административный,administrative,[ədˈmɪnɪstrətɪv],"General, marketing, and administrative costs","Общие, сбытовые и административные издержки"
администратор,administrator,[ədˈmɪnɪstreɪtə],"Under Roles, choose Global administrator.",В разделе Роли выберите пункт Глобальный администратор.
восхищаться,admire,[ədˈmaɪə],You have to admire their fearlessness.,Вы должны восхищаться их бесстрашие.
прием,admission,[ədˈmɪʃən],Admission of pupils throughout the school year;,прием учащихся в любое время учебного года;
признавать,admit,[ədˈmɪt],Admit I made a mistake.,"Признать, что я совершил ошибку."
подросток,adolescent,[ˌædəuˈlesnt],"My pimply adolescent, my nearsighted guy.","Мой прыщавый подросток, мой близорукий парень."
принимать,adopt,[əˈdɔpt],Adopt the following joint statement:,Принимаем следующее совместное заявление:
принятие,adoption,[əˌdɔpʃən],Adoption of 122 internal company statutes.,Принятие 122 правил внутреннего трудового распорядка
взрослый,adult,[ˈædʌlt],Escort Services and Adult Dating,Эскорт-услуги и знакомства для взрослых
взрослый,adult,[ˈædʌlt],Escort Services and Adult Dating,Эскорт-услуги и знакомства для взрослых
предварительный,advance,[ədˈvɑ:ns],24-hour advance reservation required.,Требуется предварительное бронирование за 24 часа.
достижения,advance,[ədˈvɑ:ns],We pledge to spare no effort to advance this aim.,Мы обязуемся приложить все усилия для достижения этой цели.
продвигаться,advance,[ədˈvɑ:ns],Stop the advance of the enemy.,Прекратить продвижение врага.
передовой,advanced,[ədˈvɑ:nst],Advanced technologies of online trading;,Передовые технологии интернет-трейдинга;
преимущество,advantage,[ədˈvɑ:ntɪdʒ],The corrupt advantage in Russia,Коррупционные преимущества в России
приключение,adventure,[ədˈventʃə],Natasha Tsakos' multimedia theatrical adventure,Мультимедийное театральное приключение Наташи Цакос
неблагоприятный,adverse,[ˈædvə:s],"Moreover, China will face increasingly adverse demographic conditions.","Кроме того, Китай будет сталкиваться со все более неблагоприятными демографическими условиями."
рекламировать,advertise,[ˈædvətaɪz],I want to advertise safety.,Я хочу рекламировать безопасность.
реклама,advertisement,[ədˈvə:tɪsmənt],An advertisement embedded inside an article.,"Реклама, встроенная в статью."
реклама,advertising,,Grow your business with advertising,Развивайте свою компанию с помощью рекламы
совет,advice,[ədˈvaɪs],Forex Trading Advice and Tips,Советы опытных трейдеров форекс
консультировать,advise,[ədˈvaɪz],"She said, ""Why don't you advise the Kosovars?","Она сказала: ""Почему бы тебе не консультировать косоваров?"
сторонник,advocate,['ædvəkət],"Even so, some economists still advocate more fiscal stimulus.",Но даже в такой ситуации некоторые экономисты все еще являются сторонниками еще больших финансовых стимулов.
защищать,advocate,['ædvəkət],I would never advocate a pro-Russian course of action.,Я бы никогда не стал защищать пророссийский курс.
эстетический,aesthetic,[i:sˈθetɪk],"Novelty is a concept of commerce, not an aesthetic concept.","Новшество - это понятие торговое, а не эстетическое."
дело,affair,[əˈfɛə],"""Just finish this Yukos affair.","""Только закончите дело ЮКОСа."
затрагивать,affect,['æfekt],How does this change affect me?,Как это изменение затрагивает меня?
привязанность,affection,[əˈfekʃən],It shews affection for me.,Это показывает привязанность ко мне.
позволять себе,afford,[əˈfɔ:d],I cannot afford spare time.,Я не могу позволить себе свободное время.
доступный,affordable,,New Frontiers in Affordable Housing,Новые рубежи доступного жилья
испуганный,afraid,[əˈfreɪd],,
последствие,aftermath,[ˈɑ:ftəmæθ],The Las Vegas massacre and its aftermath are pure Americana.,Массовое убийство в Лас-Вегасе и его последствия – чистая Американа.
день,afternoon,[ɑːftə'nuːn],"Go in the afternoon, silly.","Сходишь днем, глупенькая."
возраст,age,[eɪdʒ],Employee has reached retirement age,Сотрудник достиг пенсионного возраста
стареть,age,[eɪdʒ],"As rich countries age, they need more workers.","По мере того как население богатых стран стареет, им требуется все больше работников."
престарелый,aged,[.eɪdʒd],Kirill sent the aged Metropolitan Juvenalij to Putin's speech in his place.,Вместо себя Кирилл отправил на выступление Путина престарелого митрополита Ювеналия.
агентство,agency,[ˈeɪdʒənsɪ],He runs an employment agency.,Он работает в кадровом агентстве.
повестка,agenda,[əˈdʒendə],A Growth Agenda for China,Повестка экономического роста для Китая
агент,agent,[ˈeɪdʒənt],"Miss Sutton, Agent Lowry, FBl.","Мисс Саттон, я - агент Лоури."
агрессия,aggression,[əˈɡreʃən],"the speed, the collective aggression.","скорость, коллективная агрессия."
агрессивный,aggressive,[əˈɡresɪv],Cypher beetles aren't aggressive.,Шифровальные жуки не агрессивны.
соглашаться,agree,[əˈɡri:],We couldn't agree more.,Нельзя не согласиться.
соглашение,agreement,[əˈɡri:mənt],Create a new connection agreement.,Создайте новое соглашение о подключении.
сельскохозяйственный,agricultural,[ˌæɡrɪˈkʌltʃərəl],Agricultural markets should be privatized.,Сельскохозяйственные рынки должны быть приватизированы.
сельское хозяйство,agriculture,[ˈæɡrɪkʌltʃə],The Myth of Organic Agriculture,Миф о сельском хозяйстве без химии
помощь,aid,[eɪd],One example is foreign aid.,Одним из примеров является международная помощь.
помогать,aid,[eɪd],ECB continues aid to Greece,ЕЦБ продолжает помогать Греции.
помощник,aide,,Elim wasn't my aide.,Илем не был моим помощником.
вспомогательные средства,AIDS,,"There's a selection of visual aids, if required.","Там подборка визуальных вспомогательных средств, если нужно."
цель,aim,[eɪm],Aim a lie at ignorance.,Цель - ложь во спасение.
нацеливать,aim,[eɪm],They must fine-tune their ability to aim the lasers.,Они должны осуществить тонкую настройку своей аппаратуры по нацеливанию лазеров.
воздух,air,[ɛə],Change was in the air.,В воздухе витали перемены.
самолет,aircraft,[ˈɛəkrɑ:ft],So do other secret aircraft.,Говорится там и о секретных самолетах.
авиакомпания,airline,[ˈɛəlaɪn],We ran an airline check.,Мы проверили по данным авиакомпании.
аэропорт,airport,[ˈɛəpɔ:t],Joan Winfield stolen at airport!,Джоан Винфилд похищена в аэропорту!
тревога,alarm,[əˈlɑ:m],You pull a fire alarm?,А вы подняли пожарную тревогу?
встревожить,alarm,[əˈlɑ:m],"Which should cause several husbands alarm I'll hop down off this shelf and, tout de suite, be myself.","Встревожит нескольких мужей, что соскочу я с этой полки, и стану я самим собой."
альбом,album,[ˈælbəm],Find and update album information,Поиск и обновление сведений об альбоме
алкоголь,alcohol,[ˈælkəhɔl],Language: Alcohol ads can't:,Язык. Реклама алкоголя не должна:
алкогольный,alcoholic,[ˌælkəˈhɔlɪk],Every country has a contextual alcoholic drink.,У каждой страны есть свой алкогольный напиток.
аварийный,alert,[əˈlə:t],You have triggered primary alert function.,Вы вызвали первичную аварийную функцию.
оповещение,alert,[əˈlə:t],When an alert is triggered,Когда Оповещение запускается
предупреждать,alert,[əˈlə:t],So that he can alert the Admiralty.,Он может предупредить Адмиралтейство.
иностранный,alien,[ˈeɪljən],The alien tort statute allows foreign nationals to bring civil claims in U S court.,Закон об иностранных деликтных исках позволяет иностранцам подавать гражданские иски в суд США.
иностранец,alien,[ˈeɪljən],Non-resident alien since 2008.,Иногородний иностранец с 2008.
присоединяться,align,[əˈlaɪn],Moscow is determined to break Tbilisi's will to align with the West.,"Москва решительно настроена на то, чтобы сломить волю Тбилиси присоединиться к Западу."
согласование,alignment,[əˈlaɪnmənt],Alignment in this case does not mean conformance.,Согласование в данном случае не означает соответствия.
подобный,alike,[əˈlaɪk],The future and the past are alike.,Будущее и прошлое подобны друг другу.
живой,alive,[əˈlaɪv],She likes her grounders alive.,Она любит живых землян.
в порядке,all right,,"Temperance, are you all right?","Темперанс, ты в порядке?"
утверждение,allegation,[ˌælɪˈɡeɪʃən],This is an absurd allegation.,Это абсурдное утверждение.
утверждать,allege,[əˈledʒ],Many allege that nearby American attack submarines sank the Kursk with Mark 48 torpedoes.,"Многие утверждают, что российскую лодку потопили находившиеся неподалеку американские ударные субмарины, применившие торпеды Mark 48."
альянс,alliance,[əˈlaɪəns],Toward an Alliance of Hope,На пути к альянсу надежды
выделять,allocate,[ˈæləukeɪt],Governments must allocate significantly more funds to sustainable infrastructure.,Правительства должны выделять значительно больше ресурсов на устойчивую инфраструктуру.
распределение,allocation,[ˌæləuˈkeɪʃən],About allocation keys [AX 2012],О ключах распределения [AX 2012]
позволять,allow,[əˈlau],I will not allow you.,"Сударь, я вам не позволяю."
пособие,allowance,[əˈlauəns],She had her disability allowance.,У нее пособие по инвалидности.
союзник,ally,['ælaɪ],Indonesia can be one ally.,Одним из союзников может стать Индонезия.
только,alone,[əˈləun],You alone can do this.,Только ты можешь это сделать.
изменять,alter,[ˈɔ:ltə],How do you alter that?,Как можно изменить эту ситуацию?
альтернативный,alternative,[ɔ:lˈtə:nətɪv],"Well, alternative rock, but yeah.","Альтернативный рок, конечно, но всё же."
альтернатива,alternative,[ɔ:lˈtə:nətɪv],Alternative 1: LED Backlight Units,Альтернатива 1: светодиодные устройства фоновой подсветки
алюминий,aluminium,[ˌæljuˈmɪnjəm],Critical molar base cation to aluminium ratio.,Критическое молярное соотношение катионов оснований и алюминия.
любительский,amateur,[ˈæmətə:],Making such an amateur mistake.,Делает такую любительскую ошибку.
любитель,amateur,[ˈæmətə:],Leeta is an amateur sociologist.,Лита - социолог любитель.
пораженный,amazed,,Martians would be amazed by this.,Марсиане были бы поражены этим.
удивительный,amazing,[əˈmeɪzɪŋ],An amazing gymnast and dancer.,Удивительная гимнастка и плясунья.
посол,ambassador,[æmˈbæsədə],"Ambassador Extraordinary and Plenipotentiary, 1981.","Чрезвычайный и Полномочный Посол, 1981 год"
амбиция,ambition,[æmˈbɪʃən],Does his ambition have no bounds?,Неужели его амбиции безграничны?
амбициозный,ambitious,[æmˈbɪʃəs],It was an ambitious plan.,Это был амбициозный проект.
скорая,ambulance,[ˈæmbjuləns],Allow access  for an ambulance!,Дайте возможность проехать скорой помощи!
изменять,amend,[əˈmend],Amend all cross-references accordingly.,Соответственно изменить все перекрестные ссылки.
поправка,amendment,[əˈmendmənt],Proposed amendment in bold printing:,Текст предлагаемой поправки выделен жирным шрифтом:
размер,amount,[əˈmaunt],Total amount = bonus amount/10,Суммарный объем = размер бонусной суммы/10
составлять,amount,[əˈmaunt],The minimum payment amount is 100 RUB.,Минимальная сумма платежа составляет 100 рублей.
забавный,amusing,[əˈmju:zɪŋ],He knows many amusing magic tricks.,Он знает много забавных фокусов.
аналогия,analogy,[əˈnælədʒɪ],But the analogy is imperfect.,Но аналогия несовершенна.
проанализировать,analyse,[ˈænəlaɪz],"I'm the best person to analyse these artefacts, and he knows it.","Я лучше всех смогу проанализировать эти артефакты, и Баран это знает."
анализ,analysis,[əˈnæləsɪs],Technical analysis using Japanese candlesticks,Технический анализ японских свечей
аналитик,analyst,[ˈænəlɪst],"Uh, junior I T analyst.",Младший системный аналитик.
предок,ancestor,[ˈænsɪstə],The Okinawans have this ancestor veneration.,У окинавцев есть т.н. почитание предков.
якорь,anchor,[ˈæŋkə],Europe's Anchor of Stability,Якорь стабильности Европы
древний,ancient,[ˈeɪnʃənt],He respects all ancient titles.,Он уважает каждый древний род.
ангел,angel,[ˈeɪndʒəl],"Angel finds it, page me.","Ангел найдет, где колыбелька демона, тогда свистните мне."
гнев,anger,[ˈæŋɡə],"Yeah, drink off their anger.","Да, запить гнев до дна."
угол,angle,[ˈæŋɡl],The camera angle and focus,угол съемки и фокусировка камеры;
злой,angry,[ˈæŋɡrɪ],Angry dogs and violent men.,Злые как собаки жадные люди.
животный,animal,[ˈænɪməl],I need animal for protection.,Я хотей животный для охраны.
анимация,animation,[ˌænɪˈmeɪʃən],Click here to preview the animation.,"Щелкните здесь, чтобы просмотреть анимацию."
лодыжка,ankle,[ˈæŋkl],She twisted her ankle practicing.,Она вывихнула лодыжку на тренировке.
годовщина,anniversary,[ˌænɪˈvə:sərɪ],Like a one-year anniversary.,Точно годовщина нашей свадьбы.
объявлять,announce,[əˈnauns],Can I announce our engagement?,Я могу объявить о нашей помолвке?
объявление,announcement,[əˈnaunsmənt],Important Announcement about Outlook.com,Важное объявление об Outlook.com
раздражать,annoy,[əˈnɔɪ],The corporate names of ballparks tend to annoy me.,"Названия бейсбольных стадионов, в которых упоминаются наименования фирм, как правило, меня раздражают."
раздраженный,annoyed,[əˈnɔɪd],I was much annoyed with her.,Я был очень раздражён на неё.
раздражающий,annoying,[əˈnɔɪɪŋ],Does this count as annoying?,А вот это считается раздражающим?
ежегодный,annual,[ˈænjuəl],“Article V Annual and special leave,Статья V Ежегодные и специальные отпуска
анонимный,anonymous,[əˈnɔnɪməs],How reliable are anonymous sources?,— Насколько надежными является анонимные источники?
ответ,answer,[ˈɑ:nsə],"This, graphically, was the answer.",Вот графический ответ.
отвечать,answer,[ˈɑ:nsə],You must answer these questions.,Ты должен ответить на эти вопросы.
ожидать,anticipate,[ænˈtɪsɪpeɪt],We anticipate a heavy rainfall tomorrow.,Мы ожидаем завтра сильный дождь.
беспокойство,anxiety,[æŋˈzaɪətɪ],That anxiety has not vanished.,Сегодня это беспокойство не исчезло.
тревожный,anxious,[ˈæŋkʃəs],These were anxious times for my country.,Это были тревожные времена для моей страны.
квартира,apartment,[əˈpɑ:tmənt],How goes the apartment hunting?,Как продвигаются поиски квартиры?
извиняться,apologize,[əˈpɔlədʒaɪz],Yet few reflect and apologize.,И лишь немногие задумываются и приносят свои извинения.
извинение,apology,[əˈpɔlədʒɪ],An apology to Saddam Hussein?,Извинениями в адрес Саддама Хусейна?
приложение,app,,To create an app password:,"Чтобы создать пароль приложения, выполните следующее."
аппарат,apparatus,,Its security apparatus is dysfunctional,Аппарат обеспечения безопасности не работает
очевидный,apparent,[əˈpærənt],What explains this apparent contradiction?,Что же объясняет это очевидное противоречие?
апелляционный,appeal,[əˈpi:l],The court dismissed his appeal.,Суд отклонил его апелляционную жалобу.
обращаться,appeal,[əˈpi:l],So I appeal to you.,"Я обращаюсь к вам,"
привлекательный,appealing,[əˈpi:lɪŋ],The idea certainly sounds appealing.,"Идея, безусловно, выглядит привлекательно."
появляться,appear,[əˈpɪə],A confirmation message should appear.,На экране должно появиться сообщение с подтверждением.
вид,appearance,[əˈpɪərəns],"Under ""Appearance,"" click Get themes.","В разделе ""Внешний вид"" нажмите Выбрать тему."
аппетит,appetite,[ˈæpɪtaɪt],Don't spoil your appetite.,Береги аппетит.
приветствовать,applaud,[əˈplɔ:d],We applaud the IAEA for those and numerous other achievements.,Мы приветствуем МАГАТЭ за эти и многие другие достижения.
яблоко,apple,[ˈæpl],Apple slices and peanut butter?,Кусочки яблока и арахисовое масло?
применимый,applicable,[ˈæplɪkəbl],Not applicable; single organization only.,Не применимо; только для отдельных организаций.
заявитель,applicant,[ˈæplɪkənt],The applicant (buyer) who intends to pay for the goods.,"Заявитель (покупатель), который намеревается оплатить товары."
применение,application,[ˌæplɪˈkeɪʃən],Scope and field of application,Охват и сфера применения
применяться,apply,[əˈplaɪ],Apply data validation to cells,Применение проверки данных к ячейкам
назначать,appoint,[əˈpɔɪnt],I'll appoint you centurion!,Назначу тебя сотником войсковым!
назначение,appointment,[əˈpɔɪntmənt],You were very persistent about your appointment time.,Вы были очень постоянными о вашем назначении времени.
оценивать,appreciate,[əˈpri:ʃɪeɪt],“So I appreciate her saying it.”,— Поэтому я высоко оцениваю ее заявление».
признательность,appreciation,[əˌpri:ʃɪˈeɪʃən],He deserves our profuse appreciation.,Он заслуживает нашей глубокой признательности.
подход,approach,[əˈprəutʃ],Mnuchin takes a narrow approach.,Мнучин придерживается узкого подхода.
приближаться,approach,[əˈprəutʃ],"Kessler will approach the checkpoint, moving southbound.","Кесслер приблизится к блокпосту, двигаясь на юг."
соответствующий,appropriate,[ə'prəuprɪət],We will take appropriate steps,Мы предпримем соответствующие шаги
утверждение,approval,[əˈpru:vəl],Set up manual journal approval,Настройка утверждения журнала вручную
утверждать,approve,[əˈpru:v],Create and approve budget plans.,Создание и утверждение бюджетных планов.
апрель,April,,"Last modified April 12, 2017",Последнее изменение: 12 апреля 2017 г.
произвольный,arbitrary,[ˈɑ:bɪtrərɪ],This can allow arbitrary code execution to occur.,Это может привести к выполнению произвольного кода.
архитектор,architect,[ˈɑ:kɪtekt],I am a German architect.,Я немецкий архитектор.
архитектурный,architectural,[ˌɑ:kɪˈtektʃərəl],"issue, position and architectural manifestation.","проблема, позиции и архитектурное решение."
архитектура,architecture,[ˈɑ:kɪtektʃə],How architecture helped music evolve,Как архитектура способствовала развитию музыки
архив,archive,,Search Archive folder_C3_2017912153827,Поиск в папке архива_C3_2017912153827
область,area,[ˈɛərɪə],The third area is reproduction.,Третья область - это репродукция.
арена,arena,[əˈri:nə],Bomb threat at Atlas Arena.,Угроза взрыва на Атлас Арене.
утверждать,argue,[ˈɑ:ɡju:],One might argue that itwas.,"Можно утверждать, что этотак."
аргумент,argument,[ˈɑ:ɡjumənt],The compare argument settings are:,Аргумент сравнение может принимать следующие значения:
возникать,arise,[əˈraɪz],The question doesn't arise,Вопросов не возникает
оружие,arm,[ɑ:m],Arm up and proceed to strike zone.,Оружие к бою и выступайте.
вооружать,arm,[ɑ:m],Will President Trump Finally Arm Ukraine?,Вооружит ли Трамп Украину?
вооруженный,armed,[ɑ:md],"One-armed man, armed robbery.","Однорукий, вооруженное ограбление."
оружие,arms,,Arms sales talks immediately resumed.,Две страны немедленно возобновили переговоры о поставках оружия.
армия,army,[ˈɑ:mɪ],"Was Hungarian army, explosives expert.","Служил в венгерской армии, взрывником."
организовывать,arrange,[əˈreɪndʒ],Barzini wants to arrange a meeting.,Барзини хочет организовать собрание.
соглашение,arrangement,[əˈreɪndʒmənt],The Aedile and I had an arrangement.,У нас с эдилом было соглашение.
массив,array,[əˈreɪ],Someone sabotaged the emitter array.,Кто-то саботировал массив эмиттеров.
арест,arrest,[əˈrest],My Life Under House Arrest,Моя жизнь под домашним арестом
арестовывать,arrest,[əˈrest],Arrest this bastard at once.,Немедленно арестуйте этого мерзавца.
прибытие,arrival,[əˈraɪvəl],Flight number and arrival time?,Номер рейса и время прибытия?
прибывать,arrive,[əˈraɪv],Before the defoliation ships arrive?,До прибытия кораблей зачистки?
стрелка,arrow,[ˈærəu],Back arrow theming in entry screen,Возможность сменить оформление черной стрелки на начальном экране
искусство,art,[ɑ:t],The Art of Capital Flight,Искусство вывода капиталов
статья,article,[ˈɑ:tɪkl],Article 26- proposed short version,Статья 26: предлагаемый сокращенный вариант
соединять,articulate,[ɑː'tɪkjələt],The consequences for other states if the United States does not articulate one are dire.,"Если Соединенные Штаты не сформулируют свою национальную стратегию, последствия будут ужасными."
искусственный,artificial,[ˌɑ:tɪˈfɪʃəl],Artificial flowers might be cheaper.,Искусственные цветы были бы дешевле.
художник,artist,[ˈɑ:tɪst],This artist creates beautiful paintings.,Этот художник создаёт прекрасные полотна.
художественный,artistic,[ɑ:ˈtɪstɪk],My artistic horizons continue to grow.,Мой художественный кругозор продолжает расширяться.
произведение искусства,artwork,,And it was his favorite artwork ever.,Это было его самое любимое произведение искусства.
пепел,ash,[æʃ],This burning wood produces ash.,Это горящее дерево производит пепел.
стыдящийся,ashamed,[əˈʃeɪmd],,
спрашивать,ask,[ɑ:sk],Wanna ask the recording engineer?,Хочешь спросить звукоинженера?
спящий,asleep,[əˈsli:p],"No, I mean, stay asleep.","Нет, нет, я это и имею в виду, остаться спящей."
аспект,aspect,[ˈæspekt],"So, that's one aspect.",Это один аспект.
стремление,aspiration,[ˌæspəˈreɪʃən],"Nevertheless, international monetary reform remains a legitimate aspiration.","Тем не менее, реформа международной валютной системы остается закономерным стремлением."
стремиться,aspire,[əsˈpaɪə],Turkey and Ukraine aspire to join the European Union;,Турция и Украина стремятся вступить в Европейский Союз;
